entityId,entityType,currencyCode,ContextControlContentAvoidance,ContextControlTargeting,BrandSafety,SuspiciousActivity,Viewability,TRAQ,VideoBrandSafety,VideoSuspiciousActivity,VideoViewability
9,Partner,USD,0.15,0.15,0.05,0.05,0.12,0.15,0.1,0.1,0.2
31,Partner,USD,0.2,0.2,0.03,0.03,0.08,0.12,0.1,0.1,0.2
64,Partner,USD,0.12,0.12,0.05,0.05,0.12,0.15,0.1,0.1,0.2
77,Partner,USD,0.2,0.2,0.02,0.04,0.07,0.1,0.1,0.1,0.2
81,Partner,USD,0.15,0.2,0.04,0.02,0.08,0.1,0.06,0.04,0.12
101,Partner,USD,0.15,0.15,0.05,0.05,0.12,0.15,0.1,0.1,0.2
134,Partner,USD,0.2,0.2,0.04,0.05,0.09,0.15,0.1,0.1,0.2
139,Partner,GBP,0.14905,0.14905,0.025,0.025,0.0375,0.07,0.06,0.06,0.12
151,Partner,GBP,0.15,0.14905,0.031,0.016,0.062,0.094,0.047,0.031,0.093
161,Partner,USD,0.2,0.2,0.05,0.01,0.01,0,0.1,0.1,0.2
182,Partner,USD,0.2,0.2,0.04,0.04,0.05,0.14,0.07,0.07,0.2
186,Partner,GBP,0.14905,0.14905,0.031,0.031,0,0.042,0.054,0.054,0.111952
188,Partner,GBP,0.14905,0.14905,0.05,0.05,0.1,0.15,0.1,0.1,0.2
196,Partner,USD,0.2,0.2,0.03,0.04,0.07,0.1,0.1,0.1,0.2
204,Partner,GBP,0.14905,0.14905,0.031,0.031,0.076545,0.114818,0.054,0.054,0.15309
216,Partner,USD,0.2,0.2,0.04,0.05,0.09,0.15,0.1,0.1,0.2
235,Partner,EUR,0.15,0.166,0.036,0.018,0.071,0.139545,0.053,0.036,0.107
236,Partner,EUR,0.15,0.166,0.036,0.018,0.071,0.136,0.053,0.036,0.107
265,Partner,USD,0.2,0.2,0.04,0.04,0.08,0.08,0.08,0.08,0.16
268,Partner,USD,0.2,0.2,0.04,0.05,0,0.15,0.1,0.1,0.2
274,Partner,EUR,0.15,0.166,0.036,0.018,0.071,0.139545,0.053,0.036,0.107
298,Partner,USD,0.2,0.2,0.03,0.04,0.07,0.1,0.1,0.1,0.2
300,Partner,CAD,0.15,0.25883,0.054,0.027,0.107,0.217522,0.08,0.054,0.161
301,Partner,EUR,0.15,0.166,0.036,0.018,0.071,0.11,0.053,0.036,0.107
322,Partner,GBP,0.14905,0.14905,0.031,0.031,0.076545,0.114818,0.054,0.054,0.15309
324,Partner,SEK,0.15,1.69924,0.378,0.189,0.756,1.50525,0.567,0.567,1.133
342,Partner,EUR,0.166,0.166,0.034,0.034,0,0,0.059,0.059,0.14
345,Partner,USD,0.2,0.2,0.03,0.04,0.07,0.1,0.1,0.1,0.2
364,Partner,USD,0.2,0.2,0.04,0.05,0.1,0.15,0.1,0.1,0.2
375,Partner,AUD,0.15,0.27155,0.057,0.029,0.114,0.237435,0.086,0.057,0.171
388,Partner,EUR,0.133,0.133,0.036,0.018,0.071,0.036,0.053,0.036,0.107
398,Partner,EUR,0.15,0.166,0.036,0.018,0.071,0.13749,0.053,0.036,0.107
415,Partner,EUR,0.166,0.166,0.034,0.034,0,0,0.059,0.059,0.14
428,Partner,USD,0.15,0.2,0.04,0.02,0.08,0.12,0.06,0.04,0.12
437,Partner,AUD,0.27,0.27,0.06,0.06,0.13,0.2,0.12,0.12,0.27
439,Partner,AUD,0.26,0.26,0.06,0.06,0.13947,0.209205,0.12,0.12,0.27894
459,Partner,USD,0.15,0.2,0.04,0.02,0.08,0.025,0.06,0.04,0.12
460,Partner,EUR,0.14,0.14,0.02,0.01,0.03,0.12,0.02,0.01,0.03
465,Partner,USD,0.2,0.2,0.02,0.02,0.03,0.15,0.01,0.01,0.1
467,Partner,USD,0.2,0.2,0.01,0.01,0.04,0.02,0.05,0.05,0.13
481,Partner,GBP,0.14905,0.14905,0.031,0.031,0.03,0.04,0.054,0.054,0.15311
482,Partner,EUR,0.15,0.166,0.036,0.018,0.071,0.13749,0.053,0.036,0.107
489,Partner,USD,0.2,0.2,0.04,0.04,0.08,0.08,0.08,0.08,0.16
495,Partner,USD,0.15,0.2,0.04,0.02,0.08,0.025,0.06,0.04,0.12
501,Partner,SGD,0.16,0.16,0.033,0.033,0.053,0.2,0.133,0.133,0.133
571,Partner,USD,0.2,0.2,0.03,0.04,0.07,0.1,0.1,0.1,0.2
573,Partner,CAD,0.27,0.25883,0.05,0.05,0.11,0.2,0.11,0.11,0.21
10005,Partner,USD,2,2,2,2,2,2,2,2,2
